,country,description,designation,points,price,province,region_1,region_2,variety,winery,Red?,Wine_Bins
3092,Italy,"This fascinating blend of Greco, Fiano and Falanghina (the great white grapes of Campania) is aged 8 months in oak to produce a thick, creamy wine, with spicy intensity and a candied fruit note. Notes of honey, butterscotch and apricot all play supporting roles.",Faius,90,20.0,Southern Italy,Irpinia,Irpinia,White Blend,I Capitani,False,Premium: $15-20
3093,US,"Although this is ready to drink now, it offers considerable tannins that are wrapped around layers of blackberries, black currants and cedar. The structure is impressive, so let it breathe in a decanter for an hour or two before serving.",Lot 316,90,20.0,California,Napa Valley,Napa,Cabernet Sauvignon,Cameron Hughes,True,Premium: $15-20
3094,Chile,"Herbal and woodsy on the nose, with olive, juniper and carob aromas. The palate is full, tannic and grabby, with lusty, dark, toasty flavors of black plum, berry and menthol. Warm and spicy late, but also slightly green and herbal on the finish.",Tributo Single Vineyard,88,20.0,Colchagua Valley,Colchagua Valley,Colchagua Valley,Shiraz,Caliterra,True,Premium: $15-20
3095,US,"Old vine (1967 planting) Sauvignon Blanc from Oregon? OK, this is a rarity. The wine has a gentle grace, and manages to convey layering and complexity within a fairly light frame. Moderate acidity, some yeasty texture, and a mix of apple and citrus fruit all come together in a clean, fresh, well-balanced effort.",Old Vine,88,20.0,Oregon,Columbia Valley (OR),Oregon Other,Sauvignon Blanc,Kestrel,False,Premium: $15-20
3079,US,"A rusty color belies this wine's age, but it's still enjoyable, with firm flavors of cola and barnyard. Light yet viscous, with soft tannins.This should be drunk now.",*Unknown Wine*,84,20.0,New York,Finger Lakes,Finger Lakes,Pinot Noir,Chateau Lafayette Reneau,True,Premium: $15-20
3077,Argentina,"A rough, pinchy nose with leather and funk is no way to begin. The palate stays hard and spiky, with burnt, rustic, murky flavors. Roasted and mossy on the finish, and not very good overall.",Grand Reserve,80,20.0,Mendoza Province,Mendoza,Mendoza,Malbec,Cruz Alta,True,Premium: $15-20
3136,US,"A little one-dimensional, but clean and crisp in acids, with the exotic floral and spice flavors the variety is noted for. Try with Asian fare.",*Unknown Wine*,84,20.0,California,Santa Ynez Valley,Central Coast,Viognier,Curtis,False,Premium: $15-20
3067,US,"Soft and sugary sweet, with spicy black raspberry and chocolate flavors, this is a clean, simple wine to drink with barbecue.",*Unknown Wine*,83,20.0,California,Paso Robles,Central Coast,Cabernet Sauvignon,Calcareous,True,Premium: $15-20
3217,US,"A very appealing nose of bright cherry and spice is followed by flavors of tea, spice and red berry in the mouth. Good body and tannins and a lingering finish make it a unique choice from a somewhat unknown region.",*Unknown Wine*,83,20.0,New Mexico,New Mexico,New Mexico,Cabernet Franc,Casa Rondeña Winery,True,Premium: $15-20
3061,US,"Ripe and juicy. with forward blackberry, cherry jam, mocha, plum and smoky oak flavors. This Merlot is dry, with crisp acids and soft tannins.",Estate,84,20.0,California,Dry Creek Valley,Sonoma,Merlot,Mill Creek,True,Premium: $15-20
3062,Australia,"Shows some of the vintage's heat, revealing hints of alfalfa and slightly raisined fruit, but also waves of plummy fruit tinged with dark chocolate and espresso. It's smooth, velvety and ready to drink.",Killerman's Run,90,20.0,Australia Other,Australia,Australia,Shiraz,Kilikanoon,True,Premium: $15-20
3063,Slovenia,"While savory and smoky on the nose with subdued aromas of apple and pineapple, this dry yet fruity Furmint from Slovenia offers a host of bright tropical flavors. Full bodied with a bracingly high acidity that's a tad off-balance, it's a refreshing wine for everyday.",*Unknown Wine*,83,20.0,Štajerska,Štajerska,Štajerska,Furmint,Verus Vineyards,False,Premium: $15-20
3064,US,"Exotic and rich, with tropical flavors of passionfruit, papaya and Asian pear, accented with flowers, minerals, spices and smoke. Crisp acidity makes the wine feel clean and brisk.",Mill Road Vineyard,90,20.0,California,Paso Robles,Central Coast,Viognier,Eberle,False,Premium: $15-20
3065,US,"Here's a nice, everyday sort of Merlot with some extra qualities that make it fine with steaks and chops. It displays firm but finely ground tannins and upfront cherry, coffee and licorice flavors.",*Unknown Wine*,85,20.0,California,Sonoma County,Sonoma,Merlot,Mosaic,True,Premium: $15-20
3066,Hungary,"Lifted apple and pear aromas accent this light-bodied Tokaji with characteristic honey sweetness and a bright, citrus acidity. There's a darkness to this wine, however, brought on by hints of oxidation and a slightly dusty, tinned finish.",Aszú 3 Puttonyos - 500 ml,83,20.0,Tokaji,Tokaji,Tokaji,Furmint,Tokaj Kereskedőház,False,Premium: $15-20
3068,US,"Higher in alcohol than Kenwood's regular '05 Sonoma Zin, this one's hotter and more full-bodied. It's got a density that can stand a little bottle age. Give it two or three years to soften, and let the blackberry, cherry and coffee fruit emerge from the tannins.",Reserve,88,20.0,California,Sonoma County,Sonoma,Zinfandel,Kenwood,True,Premium: $15-20
3076,Argentina,"Kind of hard, pasty and candied on the nose, with a thick and chunky palate feel along with sweet, sugary, generic red fruit flavors. Hailing from Patagonia, this is a basic, creamy Cabernet with body and size but not too much character.",Reserve,84,20.0,Other,Neuquén,Neuquén,Cabernet Sauvignon,Alpataco,True,Premium: $15-20
3069,US,"There's been a huge jump in production of this wine since the past vintage, which may signal some surge of interest in white Pinot, which has lately become a bit of a trend in Oregon. The wine is simple, neutral and perfectly quaffable, but carries no hint of varietal character.",White,87,20.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Left Coast Cellars,True,Premium: $15-20
3070,Israel,"Here's a fresh and lively unoaked Chard that's perfect for lighter fare like tabouleh salad or grilled chicken. Green apple and citrus mingle with a hint of lemon custard on the nose, while the medium-weight mouth offers more green plum and white nectarine flavors. Flavorful and refreshing; drink now.",Reserve Unoaked Kosher,87,20.0,Judean Hills,Judean Hills,Judean Hills,Chardonnay,Binyamina,False,Premium: $15-20
3071,US,"Fragrant and lush with floral/citrus aromas, this stainless-fermented Chardonnay is inviting and seductive. Brilliant, bright fruit anchors a wine that is tense and dense and vividly thrilling. The acids are natural and flavors seamlessly run from lemon/lime to pineapple to orange, and keep on keeping on, with fresh, water-washed rock in the finish.",Sundance Vineyard,93,20.0,Washington,Wahluke Slope,Columbia Valley,Chardonnay,Rulo,False,Premium: $15-20
3072,Italy,"This is an easy, fruit-driven Chianti Classico that shows cherry, white almond and pressed violets. There's a darker side in the mouth that translates into raw notes of cola and smoked bresaola.",*Unknown Wine*,84,20.0,Tuscany,Chianti Classico,Chianti Classico,Sangiovese,Fattoria la Castellina,True,Premium: $15-20
3073,US,"From the Del Rio and Abacela Vineyards, A to Z's 2004 Night & Day is mostly Merlot, Cabs Franc and Sauvignon, with smaller percentages of Syrah, Dolcetto, Petit Verdot, Nebbiolo and Tempranillo. Unlike many such mutt wines, this has a definite structure, a focused mix of black fruits annotated with pepper, slate, iron, cocoa and pencil shavings. It was 100% barrel-aged with a small percentage of new wood.",Night & Day Red Wine,88,20.0,Oregon,Oregon,Oregon Other,Red Blend,A to Z,True,Premium: $15-20
3074,US,"A good, solid Pinot Gris, with superripe flavors of pineapples, pears, peaches, honeysuckle flowers, vanilla and cinnamon spices. The acidity is nicely brisk. Would score higher if it were drier, as it has a sugary, jammy edge.",Grand Reserve,85,20.0,California,Monterey County,Central Coast,Pinot Gris,Kendall-Jackson,False,Premium: $15-20
3075,US,"Super-fruity and oaky, this blend of Cabernet, Syrah and Merlot is almost as sweet as a dessert wine. It tastes like melted cherry and raspberry jam, sprinkled with roasted almonds, honey, cocoa and cinnamon.",*Unknown Wine*,85,20.0,California,California,California Other,Red Blend,The Sum,True,Premium: $15-20
3096,US,"Kool-aid character, light raspberry fruit, slightly candied, with an artificial tang to the finish.",Skookum,83,20.0,Washington,Columbia Valley (WA),Columbia Valley,Red Blend,Walter Dacon,True,Premium: $15-20
3097,Argentina,"Dark, full-throttle aromas of black cherry, candied plum and burnt something or other set up a straightforward, fairly full-bodied palate with mildly tart plum and cherry flavors. Basic; pretty good size and feel. More generic than varietal in overall character.",Reserve,84,20.0,Other,Neuquén,Neuquén,Pinot Noir,Alpataco,True,Premium: $15-20
3098,US,"Tons of cat-pee aromas pour forth from this dry, acidic Sauvignon Blanc, so if that's not your thing, don't buy it. For you others, there are richer notes of pineapple, fig and honeydew.",Griva Vineyard,84,20.0,California,Arroyo Seco,Central Coast,Sauvignon Blanc,Bernardus,False,Premium: $15-20
3127,Portugal,"Attractive fresh apple aromas are then spoilt by a rather hard, tart character. The spirit is obvious here, giving an uncomfortable edge.",Sirocco White,82,20.0,Port,Port,Port,Port,Fonseca,True,Premium: $15-20
3120,Portugal,"Almonds and ripe yellow fruits combine in this surprisingly warm Vinho Verde. It has weight and richness as well as an immediately attractive fruity style. Easy to drink now, with a touch of caramel at the end.",Eminência,87,20.0,Vinho Verde,Vinho Verde,Vinho Verde,Loureiro,Ideal Drinks,False,Premium: $15-20
3121,US,"Cab Franc has always been one of the best potential wines in these Foothills, and now, veteran Easton tackles it with special focus. This is a good, medium-bodied wine, with pleasurable flavors of cherries, cola, bacon and sweet smoky oak. Has more elegance than you might think at this price.",Monarch Mine Vineyard,89,20.0,California,Sierra Foothills,Sierra Foothills,Cabernet Franc,Easton,True,Premium: $15-20
3122,Italy,"Subtle aromas include white flowers and pears. The linear palate offers tart green apple, grapefruit and energizing mineral alongside crisp, quenching acidity.",*Unknown Wine*,87,20.0,Northeastern Italy,Alto Adige,Alto Adige,Pinot Bianco,Niedermayr Josef,False,Premium: $15-20
3123,US,"A good effort from New Jersey's Unionville, this delicate Chard offers harmonious flavors of tropical fruit and flowers, with a touch of spice to add complexity. Balanced acid keeps the wine clean and light.",*Unknown Wine*,84,20.0,New Jersey,New Jersey,New Jersey,Chardonnay,Unionville,False,Premium: $15-20
3124,US,"Rugged and kind of sweet, with candied cherry, raspberry and mint julep flavors, this Zin has dusty, briary tannins and a mouth-watering spiciness that calls for steaks and chops.",Sin Zin,84,20.0,California,Alexander Valley,Sonoma,Zinfandel,Alexander Valley Vineyards,True,Premium: $15-20
3125,Argentina,"Opens with a smoke shack full of hickory and jerky before settling in a dark mass. The palate is sweet and a touch awkward, with heavy Port-like weight and strange but provoking berry flavors. An odd blend of Malbec, Cab and Syrah that needs fine tuning.",Amauta,84,20.0,Other,Cafayate,Cafayate,Red Blend,Bodegas El Porvenir De Los Andes,True,Premium: $15-20
3126,Italy,"This straightforward wine opens with delicate aromas of apples, mowed grass and dried hay. The palate offers Golden Delicous apples and lemon zest alongside a light mineral note and firm acidity.",*Unknown Wine*,87,20.0,Northeastern Italy,Collio,Collio,Chardonnay,Gradis'ciutta,False,Premium: $15-20
3128,US,"Black cherry fruit stars in this dry, rustic wine. It has strong acids and dusty, astringent tannins, making it worthy of cheese, oil, sausage, tomatoes, that kind of fare.",Di Collina,85,20.0,California,San Pasqual,South Coast,Sangiovese,Orfila,True,Premium: $15-20
3099,France,"A concentrated wine, full of firm tannins as well as delicious red cherry fruits. The wine has weight, richness, structure, definitely for aging, while retaining the open fruit of delicious Gamay.",Les Charmes Cuvée la Louve,90,20.0,Beaujolais,Morgon,Morgon,Gamay,Gérard Brisson,True,Premium: $15-20
3129,Argentina,"Powerful but reduced, with gritty berry aromas and a ton of clove on the nose. There's a carry over of the clove in the mouth, and also roasted fruit flavors, wood spice and sweetness. Powerful for sure, but arguably a bit too woody for its own good.",Tonada,85,20.0,Mendoza Province,Mendoza,Mendoza,Malbec,Finca La Anita,True,Premium: $15-20
3130,US,"Easy to mistake this for a rustic Pinot Noir, with its silky texture, crisp acidity and bone-dry flavors of cherries and cola. Although it's not especially complex, it's the kind of likeable wine you could drink a bottle of with a nice meal.",Las Brisas Vineyard,86,20.0,California,Carneros,Napa-Sonoma,Tempranillo,Mahoney,True,Premium: $15-20
3131,US,"Dry and fruity and a little rugged, this wine from Mendocino County has ripe cherry-berry flavors that are tinged with some sharp tannins, and a tart, astringent finish. Drink now.",Rennie Vineyard,84,20.0,California,Yorkville Highlands,North Coast,Merlot,Yorkville Cellars,True,Premium: $15-20
3132,US,"The earlier release of Terre Rouge's two Viogniers, this one, in screwcap, is clearly the friendlier and more immediately accessible. It shows a pretty, fruity personality exuberant in almond, apricot and high acidity. Crisp, like a Sauvignon Blanc, it manifests its granitic beginnings in tasty ways.",*Unknown Wine*,87,20.0,California,Fiddletown,Sierra Foothills,Viognier,Terre Rouge,False,Premium: $15-20
3133,Italy,"This is a thick and opulent ripasso with inky concentration and intense aromas of dark fruit, blackberry, freshly milled pepper, chocolate and espresso. The mouthfeel is generous and round and this wine would pair beautifully with spicy pork ribs. Imported by Eurobiz Inc.",*Unknown Wine*,88,20.0,Veneto,Valpolicella Superiore Ripasso,Valpolicella Superiore Ripasso,"Corvina, Rondinella, Molinara",Montezovo,True,Premium: $15-20
3134,Spain,"Hard and oily smelling, with an acrid overtone. The palate is grating and tastes of bitter, pithy citrus, while the finish is equally bitter, with grapefruit pith lasting too long. Expensive for what you get.",Clarión,82,20.0,Northern Spain,Somontano,Somontano,White Blend,Viñas del Vero,False,Premium: $15-20
3135,US,"This is an acidic, sharp wine, in the manner of many California Sangioveses. It's severely dry and tannic, with only modest flavors of cherries.",Kiara Private Reserve Sylvester Vineyards,82,20.0,California,Paso Robles,Central Coast,Sangiovese,Sylvester,True,Premium: $15-20
3119,US,"A blend of two-thirds Chardonnay and one-third Pinot Noir, this emits an inviting whiff of caramel apple. On the palate, the frothy mousse is dry and balanced.",Brut Excellence,90,20.0,California,Mendocino County,Mendocino/Lake Counties,Sparkling Blend,Scharffenberger,True,Premium: $15-20
3118,US,"Norman Conquest, get it? The wine itself is too soft, and lacks the tannin-acid structure needed for balance. Too bad, because the oak-infused cherry and blackberry flavors are fine.",Conquest,83,20.0,California,Paso Robles,Central Coast,Cabernet Sauvignon,Norman,True,Premium: $15-20
3117,US,"Very vibrant in acidity and bright green fruit character, suggesting limes, lychee and lemongrass. A drop of Viognier and a tiny percent of oak add softening, enriching notes. Very fine and dry. Good with ceviche, grilled veggies on bruschetta topped with melted goat cheese.",Block Collection River Ranches,88,20.0,California,Russian River Valley,Sonoma,Sauvignon Blanc,Geyser Peak,False,Premium: $15-20
3115,France,"Heady and concentrated notes of blackberry, cherry and plum are graced with additional glimmers of lavender and thyme. The layered fruit continues in the velvety mouth, and licorice stick, clove and nutmeg spice accents carry well into the finish. A nice expression with great balance; drink now–2014.",Vieilles Vignes,90,20.0,Languedoc-Roussillon,Faugères,Faugères,Rhône-style Red Blend,Château de la Liquiere,True,Premium: $15-20
3100,Spain,"Very strange from the start. Odd stuff, with a candied, spice-like set of aromas that go straight to sweet, dull gumdrop flavors. Feels o.k. on the palate but tastes and smells weird.",Reserva Brut,82,20.0,Catalonia,Cava,Cava,Sparkling Blend,Font I Jordana,True,Premium: $15-20
3101,Australia,"Kilikanoon's blended Cabernet is a solid effort, it just falls short of the consistent excellence of the winery's Rhône varieties. Dried herbs on the nose give way to dark, cola-inflected flavors mixed with brighter berry notes, while slightly astringent tannins impart a drying sensation to the finish. Drink over the next 2–3 years.",Killerman's Run,87,20.0,South Australia,South Australia,South Australia,Cabernet Sauvignon,Kilikanoon,True,Premium: $15-20
3102,US,"Quite a bit sweeter on the palate than J's Pinot Gris in the past, with a sugary edge to the otherwise pretty pineapple, vanilla and wildflower flavors. Acidity helps to balance, but this is not, strictly speaking, dry.",*Unknown Wine*,84,20.0,California,Russian River Valley,Sonoma,Pinot Gris,J Vineyards & Winery,False,Premium: $15-20
3103,Portugal,"Ripe, fruity Chardonnay, with toast flavors balancing with smooth apricot and pear juice. The wine is soft, rich and generous, finishing with a light acidity.",Cova da Ursa,88,20.0,Península de Setúbal,Península de Setúbal,Península de Setúbal,Chardonnay,Bacalhôa Wines of Portugal,False,Premium: $15-20
3104,Italy,"Petrussa's oak-aged Chardonnay is still drinking young and seems a bit tight and firm in the mouth. Let it unwind over the next few months to deliver more intense notes of exotic fruit, milled white pepper, toasted nut, vanilla bean and banana. The wine has well-integrated acidity and a slightly herbal note on the close.",*Unknown Wine*,88,20.0,Northeastern Italy,Colli Orientali del Friuli,Colli Orientali del Friuli,Chardonnay,Petrussa,False,Premium: $15-20
3105,New Zealand,"Made in a ripe style, this Sauvignon Blanc from Oregon-based Peter Rosback features hints of honey alongside nectarine and tropical fruit flavors. It's round on the palate; a ripe, easygoing wine for immediate consumption.",*Unknown Wine*,89,20.0,Marlborough,Marlborough,Marlborough,Sauvignon Blanc,Sineann,False,Premium: $15-20
3106,US,"Distinctly different from the Avery vineyard bottling, this has pleasing, brambly strawberry fruit flavors, intertwined with spice, cola and a bit of Dr. Pepper. Not a big wine, but loaded with fruit flavor.",Les Collines Vineyard,88,20.0,Washington,Walla Walla Valley (WA),Columbia Valley,Zinfandel,Three Angels,True,Premium: $15-20
3107,US,"First release, mother's name, this Bordeaux blend is sharp and showing some volatility in the nose, but smooth and ripe, with raisins and prunes in the mouth. It's almost like an apéritif, with a mix of botanical flavors. Good density and balance.",RoseAnne's Red,88,20.0,Washington,Walla Walla Valley (WA),Columbia Valley,Red Blend,Mannina Cellars,True,Premium: $15-20
3108,Uruguay,"Judging by this example, Uruguay might have some potential for the notoriously difficult Pinot Noir grape. There's a good helping of rusticity here, but also some nice cherry fruit and an appealing earthiness. Drink up.",Reserva,82,20.0,Uruguay,Uruguay,Uruguay,Pinot Noir,Bodegas Carrau,True,Premium: $15-20
3109,Portugal,"Dark, with dusty tannins and a solid, firm structure, this has a dense character. The black plum fruit and intense underlying acidity yield a powerful wine that will age over several years.",*Unknown Wine*,92,20.0,Beiras,Beiras,Beiras,Portuguese Red,Quinta de Foz de Arouce,True,Premium: $15-20
3110,Australia,"There's definitely some horsey notes on the nose, but the decadent palate, with its intoxicating blend of raspberry, loganberry and cranberry, all couched in a sophisticated vanilla and coffee framework, takes the day. Medium-to-long finish shows grippy tannins. Drink now or cellar several years.",The Villain,89,20.0,South Australia,McLaren Vale,McLaren Vale,Cabernet Sauvignon,Hugh Hamilton,True,Premium: $15-20
3111,US,"This is barely 12% alcohol, from a cool site in the Columbia Gorge AVA. It is searingly tart, with sharp lime, barely ripe pineapple, green apple flavors, and a hint of white pepper in the nose. A fine wine for oysters.",Underwood Mountain Vineyard,88,20.0,Oregon,Columbia Gorge (OR),Oregon Other,Grüner Veltliner,Syncline,True,Premium: $15-20
3112,Lebanon,"The Jeune Red from Château Musar's second line (formerly labeled Musar Cuvée Rouge) is a blend of Cinsault, Syrah and Cabernet Sauvignon that smells sweetly of ripe black cherries with rustic herbal and earthy notes. It opens softly with sweet blackberries and a hint of green bramble, but is chased by a mid-palate of fairly aggressive tannins and acidity. Fermented and aged in concrete vats, the Musar Jeune is completely unoaked and intended for early consumption, but would probably do nicely with some bottle aging as well.",Jeune Red,87,20.0,Bekaa Valley,Bekaa Valley,Bekaa Valley,Red Blend,Château Musar,True,Premium: $15-20
3113,Italy,There's a lot of personality in this light and buoyant expression of Barbera d'Alba. The fresh wine is not weighed down by too much spice or ripe fruit and would pair with pasta and tomato sauce or grilled sausage.,*Unknown Wine*,87,20.0,Piedmont,Barbera d'Alba,Barbera d'Alba,Barbera,Bricco Maiolica,True,Premium: $15-20
3114,Italy,"Apianae opens with a pretty golden color and delivers loads of beautiful, sweet flavors at an attractively low price. Orange zest, dried apricot and butterscotch are evident components of the bouquet.",Apianae,91,20.0,Southern Italy,Molise,Molise,Moscato,Di Majo Norante,False,Premium: $15-20
3216,France,"An easy, fruity wine, its attractive red cherry flavors bubbling away in soft tannins and light acidity. Very drinkable, and not for aging.",*Unknown Wine*,84,20.0,Burgundy,Bourgogne,Bourgogne,Pinot Noir,Domaine Jessiaume,True,Premium: $15-20
3333,Italy,"This is an immediately attractive albeit slightly less intense rendition of Fiano with measured but well-defined aromas of stone fruit, minerals, citrus blossoms and Golden Delicious apple. It's an elegant ensemble that makes a perfect match to light dishes or appetizers.",*Unknown Wine*,87,20.0,Southern Italy,Fiano di Avellino,Fiano di Avellino,Fiano,Antica Hirpinia,True,Premium: $15-20
3218,Italy,"This spicy white wine offers incredibly intense aromas of candied fruit, chopped herbs and thick honey. The wine is fragrant and highly aromatic with a thick, creamy mouthfeel.",Le Franette,85,20.0,Tuscany,Toscana,Toscana,White Blend,Bocelli,False,Premium: $15-20
3326,US,"Stonetree and Coyote Canyon are the vineyard sources for this rare Washington Primitivo. Briary and brambly, it does not have the cut tobacco character of Italian Primitivo, nor the depth of color and tannin. Some leafy herbal flavors compete with the mixed red fruits.",*Unknown Wine*,87,20.0,Washington,Columbia Valley (WA),Columbia Valley,Primitivo,Angel Vine,True,Premium: $15-20
3319,US,"Tasted in September ‘07, this Cab was pretty high in tannins, giving it a tough astringency some folks won't like. But the wine is clean and complex, with blackberry, tobacco and sage flavors. It's the opposite of a cult Cabernet, which is to say it's more like a traditional dry Bordeaux than something out of Napa.",Barney's Heritage Cuvee,87,20.0,California,Napa Valley,Napa,Cabernet Sauvignon,Hawkstone,True,Premium: $15-20
3320,France,"Round, ripe and fruity, this has soft tannins that accentuate the cherry flavor and give a hint of dryness. The acidity and brilliant fruit are delicious, finishing with a bright red-fruit flavor.",*Unknown Wine*,88,20.0,Beaujolais,Brouilly,Brouilly,Gamay,Château de la Chaize,True,Premium: $15-20
3321,France,"A classic Bordeaux-style blend, but mainly Merlot, this wine has a ripe feel, with a firm, dense structure. It has weight and ripe blackberry fruit, plus a fine line of acidity. Wait for two years, although it is drinkable now.",*Unknown Wine*,88,20.0,Southwest France,Côtes de Bergerac,Côtes de Bergerac,Bordeaux-style Red Blend,Château Trolliet Lafite,True,Premium: $15-20
3322,New Zealand,"This is pretty solid as far as unoaked Chardonnay goes, with clean mixed fruit flavors of apple, melon and pear providing modest complexity and weight. Finishes crisp, citrusy and refreshing.",EC2 Gimblett Gravels,86,20.0,Hawke's Bay,Hawke's Bay,Hawke's Bay,Chardonnay,Hatton Estate,False,Premium: $15-20
3323,France,"This is soft, light and dominated by fresh berry fruits. The tannins give an attractive structure to this gentle wine. Drink now.",Gariottin,86,20.0,Southwest France,Cahors,Cahors,Malbec,Château de Cénac,True,Premium: $15-20
3324,Spain,"With lime, citrus and other linear aromas, this is nothing if not fresh. The palate is scouring and spritzy, and swishing it across the tongue will create a sudsy mouthfeel. Amid that there are tangy lime and pear flavors, and then a cleansing finish. Best with anchovies and other sea-based appetizers. A Europvin, Christopher Cannan selection, Imported by multiple importers, including Michael Skurnik Wines.",*Unknown Wine*,85,20.0,Northern Spain,Getariako Txakolina,Getariako Txakolina,White Blend,Ulacia,False,Premium: $15-20
3325,US,"The '04 is considerably better than the '03, probably because the warmer vintage ripened the fruit and did away with the minty greenness. No unripeness here. It's all deliciously jammy blackberry, cherry and chocolate fruit, with an sweet, oaky finish.",*Unknown Wine*,84,20.0,California,Napa Valley,Napa,Merlot,Martin Ray,True,Premium: $15-20
3327,Germany,"Despite notes of honey and baked apple, this is an almost dry wine, boasting plenty of weight in the mouth. Orangey flavors pick up hints of peach and dried spices, turning stony on the finish.",*Unknown Wine*,89,20.0,Pfalz,Pfalz,Pfalz,Riesling,A. Christmann,False,Premium: $15-20
3317,Chile,"This is one ripe wine, evidenced by its black color and raisiny nose. Alongside the bouquet's raisin element are leather and baked blackberry notes. The mouthfeel is saturated, yet the wine remains racy, with deep berry, chocolate and spice flavors. This seems generous throughout.",Limited Reserve,88,20.0,Curicó Valley,Curicó Valley,Curicó Valley,Cabernet Sauvignon-Malbec,Millaman,True,Premium: $15-20
3328,France,"Dry tannins dominate this rough-edged wine. There are plenty of bitter cherry and cocoa flavors, while the acidity gives an attractive freshness. Those tannins need a year to settle down.",*Unknown Wine*,87,20.0,Loire Valley,Bourgueil,Bourgueil,Cabernet Franc,Château de Minière,True,Premium: $15-20
3329,US,"Tastes like a Cabernet, dry and tannic and fairly sharp, with blackberry, cherry and coffee flavors. A bit rustic.",Bliss Vineyards,86,20.0,California,Mendocino,Mendocino/Lake Counties,Merlot,Brutocao,True,Premium: $15-20
3330,Italy,"Aged only in stainless steel, Usignolo is a no-fuss expression of Nebbiolo that presents direct and friendly aromas of small berry fruit and blue flowers without the aged complexity of Barbaresco or Barolo. This would drink well with pizza or informal pasta dishes.",Usignolo,87,20.0,Piedmont,Langhe,Langhe,Nebbiolo,Cascina Bruciata,True,Premium: $15-20
3331,US,"A beautifully elegant, refined Chardonnay. Because it's not overloaded with oak, it displays the basic finesse of the grapes from this cool-climate vineyard. Crisp and dry, it's rich and complex in citrus, tropical fruit, peach, mineral and honeysuckle flavors, at a fair price.",*Unknown Wine*,90,20.0,California,Carneros,Napa-Sonoma,Chardonnay,Artesa,False,Premium: $15-20
3332,New Zealand,"A super value in Pinot Noir, just so long as you don't expect a bright, berry-scented wine. This is a dark, mysteriously earthy and herbal Pinot, with savory, spicy elements backed by dark fruit and a long, dusty finish. Drink it now and over the next few years.",Estate,90,20.0,Martinborough,Martinborough,Martinborough,Pinot Noir,Te Kairanga,True,Premium: $15-20
3334,France,"A 100% Sémillon wine, this crémant has a rich yellow color, aroma of crème brûlée, vanilla and charred oak, and plenty of toast on the palate. Behind the oak veneer are lemon-lime flavors powered by zesty acidity.",Brut,86,20.0,Bordeaux,Crémant de Bordeaux,Crémant de Bordeaux,Sémillon,Marquis de Belon,False,Premium: $15-20
3335,Chile,"The aromas here are a touch roasted, but once things settle, the bouquet is full of spice and leafy plum aromas. It feels entirely fresh and lively, with modest thickness, plus flavors of spicy oak and herbal, medium-strength berry fruit. The finish is zesty and almost citric.",Viñedo Las Vertientes,88,20.0,Aconcagua Valley,Aconcagua Valley,Aconcagua Valley,Cabernet Sauvignon,Arboleda,True,Premium: $15-20
3318,South Africa,"A deliciously juicy version of Pinotage, which starts with open aromas of plums and beetroot and follows with soft, ripe, sweet flavors. It flows generously over the earthy edge of Pinotage, and would be great with spicy food. Imported by Remy Cointreau USA.",L'Avenir,87,20.0,Stellenbosch,Stellenbosch,Stellenbosch,Pinotage,Laroche,True,Premium: $15-20
3316,Australia,"Consulting winemaker Ben Glaetzer has fashioned a reasonably full-bodied Cab for the Mitolo family, one that combines some superripe, verging on raisined, elements with hints of tobacco and herbs. Mint, cassis and chocolate round out the palate, finishing softly tannic. Drink now–2010.",Jester,87,20.0,South Australia,McLaren Vale,McLaren Vale,Cabernet Sauvignon,Mitolo,True,Premium: $15-20
3337,Germany,"A plump, amply concentrated Riesling, with plenty of pineapple fruit to balance the hints of kerosene, slate and lime. Finishes crisp and clean, with a dry quality that invites another sip. Drink now.",Armand Kabinett,88,20.0,Pfalz,Pfalz,Pfalz,Riesling,Von Buhl,False,Premium: $15-20
3306,US,"Plowbuster is Carabella's second label, offering this light, balanced, moderately priced Pinot Noir. Wild berries and cocoa powder compete with astringent tannins that taste of green tea. Though slightly bitter, it softens up when paired with heartier stews.",*Unknown Wine*,86,20.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Plowbuster,True,Premium: $15-20
3299,Italy,"Small additions of Merlot and Cabernet Sauvignon result in an elegant blend with measured fruit intensity and lasting impressions of blue flowers, licorice and almond paste. You can really taste the delicate Sangiovese component.",Pergolaia,88,20.0,Tuscany,Toscana,Toscana,Sangiovese,Caiarossa,True,Premium: $15-20
3300,Portugal,"Soft and rich, this is powerful stuff. The texture is velvety smooth, the dark tannins very much second fiddle to the superripe fruit. Raisins and red fruits bring in some acidity, but even this fruit flavor is almost sweet in its richness. Drink now.",Falcoaria Reserva,89,20.0,Ribatejo,Ribatejo,Ribatejo,Portuguese Red,Quinta do Casal Branco,True,Premium: $15-20
3301,Portugal,"The entry-level wine from Vallado is ripe, which emphasizes the red fruits, leaving the structure as a support. Flavors of black figs, dark cherries and tight spice all give interest and complexity. Drink now.",Vallado,85,20.0,Douro,Douro,Douro,Portuguese Red,Quinta do Vallado,True,Premium: $15-20
